segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long
0,4705034,,primary,-6.1808469,106.8226208,-6.180454300000001,106.822612
2,4705043,Jalan Gunung Sahari III,tertiary,-6.167752599999999,106.842434,-6.1679838,106.8396825
9,4705053,Jalan Gunung Sahari Raya,primary,-6.15619960882615,106.83668054049029,-6.160576766773948,106.83780797242444
11,4705053,Jalan Gunung Sahari Raya,primary,-6.16496996476336,106.83886961016535,-6.169343653319342,106.84001004746492
17,10522098,Jalan Lenteng Agung Raya,trunk,-6.312436176392063,106.83837372313779,-6.316894318079282,106.8376243259814
36,10561448,Jalan Lenteng Agung Barat,primary,-6.3218758,106.8358444,-6.317403514883613,106.83596779416477
41,10700207,Jalan Lenteng Agung Timur,primary,-6.340446404794989,106.83536952247394,-6.3350995999999995,106.83551980000001
42,10700233,,primary,-6.303511999999999,106.8407926,-6.306448999999999,106.8393714
45,10700773,Jalan RA. Kartini,trunk,-6.291850749983808,106.78639379074089,-6.291967036704893,106.79090073141832
47,10700805,Jalan TB. Simatupang,primary,-6.3026031,106.8543076,-6.3045223,106.8503585
71,11589658,Jalan H. R. Rasuna Said,primary,-6.225260578332627,106.83283947591651,-6.220848596263333,106.83191313463382
75,11590664,Jalan RM Harsono,secondary,-6.305717500000001,106.8205682,-6.301250917090577,106.82125470223967
77,11590664,Jalan RM Harsono,secondary,-6.296774934482449,106.82123308934739,-6.2940801,106.8222671
78,11591853,Jalan Jend. Sudirman,primary,-6.2017412,106.8231129,-6.2032911,106.82276370000001
89,11670880,Jalan Bekasi Timur Raya,secondary,-6.2142153,106.8876781,-6.210972545798346,106.89070205063231
108,18056006,Jalan Surabaya,tertiary,-6.201347771127103,106.84113738537629,-6.203857400000001,106.8423438
116,18057627,Dr Ide Anak Agung Gde Agung,secondary,-6.224439300000002,106.82666130000001,-6.227856799999999,106.8260096
130,18070049,Jalan H. Agus Salim,tertiary,-6.192719199999999,106.8251613,-6.192060500000001,106.8251607
143,18076635,,secondary,-6.1759034,106.8325987,-6.176190100000001,106.8310167
146,18077180,Jalan Medan Merdeka Selatan,primary,-6.180567574997267,106.82777213310416,-6.180760899999998,106.8232062
161,18087408,Jalan Raya Bandara,primary,-6.105751500000001,106.6965653,-6.108081849305526,106.69269464238661
162,18087408,Jalan Raya Bandara,primary,-6.108081849305526,106.69269464238661,-6.110488599999999,106.6901682
183,18577337,Jalan Jaksa,tertiary,-6.182848499999999,106.82980620000001,-6.184043599999998,106.8295269
190,18613710,Jalan Cikini I,tertiary,-6.187705899999999,106.8333744,-6.1915666,106.836138
195,18640746,Jalan Rasamala,tertiary,-6.194571099999998,106.8308298,-6.192911299999999,106.8307789
198,18640751,Jalan HOS Cokroaminoto,primary,-6.202593899999999,106.82785360000001,-6.1995519,106.8282439
203,18770224,Jalan Suryo,primary,-6.232999399999999,106.811923,-6.2367753216057356,106.8141892862783
209,22094392,,secondary,-6.2268492,106.806707,-6.225580899999999,106.8089731
216,24269470,Pegangsaan Dua,secondary,-6.182758,106.9185389,-6.178244430761093,106.91828693706721
224,25321256,Jalan Cilandak KKO,secondary,-6.305886202070118,106.81401207113312,-6.3107573,106.8137888
226,27534397,Jalan Jend. Pol. RS. Soekanto,primary,-6.226846378526706,106.9389173130769,-6.227471265560289,106.93444898398367
233,27534512,Jalan Mawar Merah Raya,tertiary,-6.220106799999998,106.93908310000002,-6.224312,106.9378743
236,27534839,Jalan Teratai Putih Raya,secondary,-6.222396099999998,106.9323829,-6.2168211,106.9314009
237,27534924,Jalan Wijaya Kusuma Raya,secondary,-6.222396099999998,106.9323829,-6.224423899999999,106.9322707
241,27534976,Jalan Delima Raya,secondary,-6.219401056412019,106.92691103761344,-6.216322800000001,106.9272498
250,27945891,Jalan Kol. Soegiono,primary,-6.229686477634394,106.9077901397433,-6.229582915803601,106.90327414045062
253,27962043,Niaga Hijau Raya,secondary,-6.2821276,106.775113,-6.287058799999998,106.7797393
258,27989659,Melawai Raya,secondary,-6.245869599999999,106.79436180000002,-6.245909500000001,106.7981306
277,28132453,Jalan Widya Chandra,tertiary,-6.229381199999998,106.8141887,-6.228427000000001,106.81668
280,28132517,Tulodong Bawah,tertiary,-6.230711099999999,106.8104122,-6.230898299999999,106.8098369
283,28137271,Jalan Kemang I B,tertiary,-6.258122699999999,106.8134241,-6.255638499999998,106.8126191
317,28164944,,primary,-6.307996400000002,106.8839859,-6.306602200000001,106.8804511
318,28165319,,primary,-6.3061784,106.8870893,-6.307625500000001,106.8856028
329,28177100,,tertiary,-6.264737899999998,106.8725266,-6.264779399999998,106.87334200000001
334,28177958,,primary,-6.306125999999999,106.8894309,-6.306356299999999,106.8867948
340,28178861,,primary,-6.3091283,106.8987777,-6.308804800000001,106.8990136
342,28188233,Jalan Mabes Hankam,primary,-6.302789392402358,106.88406817165283,-6.304524243828128,106.88675012315875
