segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long
2,4928394,Olayiwola Street,secondary,6.657004799999999,3.3103650000000004,6.6540324,3.3110494999999998
7,4954986,Charity Road,secondary,6.6533336,3.3110080999999996,6.648144099999998,3.3078486000000002
8,4954988,Charity Road,secondary,6.6540324,3.3110494999999998,6.6533336,3.3110080999999996
9,5150230,Osborne Road,primary,6.4602331,3.4328695,6.461910827967198,3.428711823971982
17,5150262,Falomo Bridge,primary,6.441980158245219,3.4263757029630946,6.438087299999999,3.4247348
19,5150268,Adeola Odeku Street,secondary,6.430002147646111,3.4195318580851692,6.4306904200338515,3.4150916535590152
20,5150268,Adeola Odeku Street,secondary,6.4306904200338515,3.4150916535590152,6.4299912,3.4087891999999997
22,5153329,Apapa-Oworonsoki Expressway,primary,6.438570697013106,3.374536078293766,6.4365569,3.3694201000000006
29,5153765,International Airport Road,primary,6.554141029576618,3.3248784021681934,6.55219999629667,3.3289625836560157
30,5153765,International Airport Road,primary,6.55219999629667,3.3289625836560157,6.550281886403627,3.333058310756672
31,5153765,International Airport Road,primary,6.550281886403627,3.333058310756672,6.5490518,3.3357027
38,5168867,Fatai Atere Way,secondary,6.544785032810593,3.3517041703480652,6.54197396529946,3.3481616671773566
45,5197501,College Road,secondary,6.641102014724937,3.330850799112333,6.6441185731476775,3.3275398530095908
46,5197501,College Road,secondary,6.6441185731476775,3.3275398530095908,6.647186899999999,3.3233506
48,5197507,Wempco Road,tertiary,6.628346201105267,3.341536539839536,6.630138745301476,3.3456893925234845
50,5197507,Wempco Road,tertiary,6.6318303695263765,3.34986753756302,6.6309229,3.3539082999999996
52,5197508,Lateef Jakande Road,secondary,6.6302170836544185,3.354032962282745,6.625909692906325,3.3536928009606273
56,5198064,Oniwaya Road,secondary,6.620786900000001,3.3252915000000005,6.618469494492387,3.3214908466344393
57,5198064,Oniwaya Road,secondary,6.618469494492387,3.3214908466344393,6.6150457994246645,3.3188580745760805
62,5198477,Ota-Agbara Rd,secondary,6.5185861,3.077754,6.514190454414151,3.0787991174536153
68,5199260,Meiran Road,secondary,6.660434236935157,3.2791532723535712,6.657294431626202,3.2760169353216595
70,5199260,Meiran Road,secondary,6.653901838080458,3.273029090943066,6.6500118856204535,3.271132952226038
