id,segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,gsv_metadata,copyright,date,location,pano_id,status,url_img0,url_img90,url_img180,url_img270
0,2,4928394,Olayiwola Street,secondary,6.6570048,3.310365,6.6540324,3.3110495,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': 6.65699923907, u'lng': 3.31037921665}, u'copyright': u'© 2017 Google', u'pano_id': u'GAxtoiLS2946W292w2zcNw'}",© 2017 Google,2017-01,"{u'lat': 6.65699923907, u'lng': 3.31037921665}",GAxtoiLS2946W292w2zcNw,OK,lagos/img0_0000.jpg,lagos/img90_0000.jpg,lagos/img180_0000.jpg,lagos/img270_0000.jpg
1,7,4954986,Charity Road,secondary,6.6533336,3.3110081,6.6481441,3.3078486,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': 6.6533171, u'lng': 3.311009}, u'copyright': u'© 2017 Google', u'pano_id': u'RwBEAJLa-TRqa4UiEinygQ'}",© 2017 Google,2017-01,"{u'lat': 6.6533171, u'lng': 3.311009}",RwBEAJLa-TRqa4UiEinygQ,OK,lagos/img0_0001.jpg,lagos/img90_0001.jpg,lagos/img180_0001.jpg,lagos/img270_0001.jpg
2,8,4954988,Charity Road,secondary,6.6540324,3.3110495,6.6533336,3.3110081,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': 6.6539971, u'lng': 3.3110057}, u'copyright': u'© 2017 Google', u'pano_id': u'Em-sLCN6h_mPjC27tF7cfQ'}",© 2017 Google,2017-01,"{u'lat': 6.6539971, u'lng': 3.3110057}",Em-sLCN6h_mPjC27tF7cfQ,OK,lagos/img0_0002.jpg,lagos/img90_0002.jpg,lagos/img180_0002.jpg,lagos/img270_0002.jpg
3,9,5150230,Osborne Road,primary,6.4602331,3.4328695,6.46191082797,3.42871182397,"{u'date': u'2016-11', u'status': u'OK', u'location': {u'lat': 6.46031329795, u'lng': 3.43286491911}, u'copyright': u'© 2017 Google', u'pano_id': u'uWoMjiOkJySwymyaoz0zsQ'}",© 2017 Google,2016-11,"{u'lat': 6.46031329795, u'lng': 3.43286491911}",uWoMjiOkJySwymyaoz0zsQ,OK,lagos/img0_0003.jpg,lagos/img90_0003.jpg,lagos/img180_0003.jpg,lagos/img270_0003.jpg
4,17,5150262,Falomo Bridge,primary,6.44198015825,3.42637570296,6.4380873,3.4247348,"{u'date': u'2016-11', u'status': u'OK', u'location': {u'lat': 6.44202049702, u'lng': 3.42636525037}, u'copyright': u'© 2017 Google', u'pano_id': u'okj73gyHkQiEtvkTnjQZew'}",© 2017 Google,2016-11,"{u'lat': 6.44202049702, u'lng': 3.42636525037}",okj73gyHkQiEtvkTnjQZew,OK,lagos/img0_0004.jpg,lagos/img90_0004.jpg,lagos/img180_0004.jpg,lagos/img270_0004.jpg
5,19,5150268,Adeola Odeku Street,secondary,6.43000214765,3.41953185809,6.43069042003,3.41509165356,"{u'date': u'2016-11', u'status': u'OK', u'location': {u'lat': 6.42997272521, u'lng': 3.41950370441}, u'copyright': u'© 2017 Google', u'pano_id': u'-9XBtskZbs9_FslCzFVyiQ'}",© 2017 Google,2016-11,"{u'lat': 6.42997272521, u'lng': 3.41950370441}",-9XBtskZbs9_FslCzFVyiQ,OK,lagos/img0_0005.jpg,lagos/img90_0005.jpg,lagos/img180_0005.jpg,lagos/img270_0005.jpg
6,20,5150268,Adeola Odeku Street,secondary,6.43069042003,3.41509165356,6.4299912,3.4087892,"{u'date': u'2016-11', u'status': u'OK', u'location': {u'lat': 6.43065723012, u'lng': 3.41512570018}, u'copyright': u'© 2017 Google', u'pano_id': u'Q5KVaLfddzqP_PynN4nQBg'}",© 2017 Google,2016-11,"{u'lat': 6.43065723012, u'lng': 3.41512570018}",Q5KVaLfddzqP_PynN4nQBg,OK,lagos/img0_0006.jpg,lagos/img90_0006.jpg,lagos/img180_0006.jpg,lagos/img270_0006.jpg
7,22,5153329,Apapa-Oworonsoki Expressway,primary,6.43857069701,3.37453607829,6.4365569,3.3694201,"{u'date': u'2016-12', u'status': u'OK', u'location': {u'lat': 6.43855626526, u'lng': 3.37450177687}, u'copyright': u'© 2017 Google', u'pano_id': u'NJETlAIaSpKvVhi8mUmU3A'}",© 2017 Google,2016-12,"{u'lat': 6.43855626526, u'lng': 3.37450177687}",NJETlAIaSpKvVhi8mUmU3A,OK,lagos/img0_0007.jpg,lagos/img90_0007.jpg,lagos/img180_0007.jpg,lagos/img270_0007.jpg
8,29,5153765,International Airport Road,primary,6.55414102958,3.32487840217,6.5521999963,3.32896258366,"{u'date': u'2016-10', u'status': u'OK', u'location': {u'lat': 6.5541722, u'lng': 3.3248442}, u'copyright': u'© 2017 Google', u'pano_id': u'aP5DGyKO8f6COcA5ZtjXYA'}",© 2017 Google,2016-10,"{u'lat': 6.5541722, u'lng': 3.3248442}",aP5DGyKO8f6COcA5ZtjXYA,OK,lagos/img0_0008.jpg,lagos/img90_0008.jpg,lagos/img180_0008.jpg,lagos/img270_0008.jpg
9,30,5153765,International Airport Road,primary,6.5521999963,3.32896258366,6.5502818864,3.33305831076,"{u'date': u'2016-11', u'status': u'OK', u'location': {u'lat': 6.55221508235, u'lng': 3.32896363498}, u'copyright': u'© 2017 Google', u'pano_id': u'XsGhTBVaNkBsrTPBZht5Mg'}",© 2017 Google,2016-11,"{u'lat': 6.55221508235, u'lng': 3.32896363498}",XsGhTBVaNkBsrTPBZht5Mg,OK,lagos/img0_0009.jpg,lagos/img90_0009.jpg,lagos/img180_0009.jpg,lagos/img270_0009.jpg
