id,segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,gsv_metadata,copyright,date,location,pano_id,status,url_img0,url_img90,url_img180,url_img270
11,345,24375819,Dhaka-Sylhet Highway,trunk,23.7426390383,90.5309349272,23.7443602773,90.5354664446,"{u'date': u'2015-08', u'status': u'OK', u'location': {u'lat': 23.7425383691, u'lng': 90.5309272918}, u'copyright': u'© 2017 Google', u'pano_id': u'9Db0PQv4HDXeunktmJUDCA'}",© 2017 Google,2015-08,"{u'lat': 23.7425383691, u'lng': 90.5309272918}",9Db0PQv4HDXeunktmJUDCA,OK,dhaka/img0_0011.jpg,dhaka/img90_0011.jpg,dhaka/img180_0011.jpg,dhaka/img270_0011.jpg
12,360,24385693,Begum Rokeya Sharani,secondary,23.8027856469,90.3705237166,23.7985888958,90.3723205724,"{u'date': u'2013-03', u'status': u'OK', u'location': {u'lat': 23.802754752, u'lng': 90.3705079425}, u'copyright': u'© 2017 Google', u'pano_id': u'auhBEhBCDxHFHQ_jOCatYg'}",© 2017 Google,2013-03,"{u'lat': 23.802754752, u'lng': 90.3705079425}",auhBEhBCDxHFHQ_jOCatYg,OK,dhaka/img0_0012.jpg,dhaka/img90_0012.jpg,dhaka/img180_0012.jpg,dhaka/img270_0012.jpg
13,367,24403096,Benaroshi Polli Road,tertiary,23.8094076,90.3679887,23.8104822271,90.3727510792,"{u'date': u'2013-02', u'status': u'OK', u'location': {u'lat': 23.8094128, u'lng': 90.3679843}, u'copyright': u'© 2017 Google', u'pano_id': u'FylavqMb5TUVPYdDeYXhTw'}",© 2017 Google,2013-02,"{u'lat': 23.8094128, u'lng': 90.3679843}",FylavqMb5TUVPYdDeYXhTw,OK,dhaka/img0_0013.jpg,dhaka/img90_0013.jpg,dhaka/img180_0013.jpg,dhaka/img270_0013.jpg
14,403,24449118,Old Elephant Rd,secondary,23.7451686,90.4041809,23.7455999,90.4060856,"{u'date': u'2013-04', u'status': u'OK', u'location': {u'lat': 23.7451821807, u'lng': 90.4041347998}, u'copyright': u'© 2017 Google', u'pano_id': u'AaFoOtFmszM6ZcFZReaznQ'}",© 2017 Google,2013-04,"{u'lat': 23.7451821807, u'lng': 90.4041347998}",AaFoOtFmszM6ZcFZReaznQ,OK,dhaka/img0_0014.jpg,dhaka/img90_0014.jpg,dhaka/img180_0014.jpg,dhaka/img270_0014.jpg
15,429,24565623,,primary,23.8973152267,90.3798089457,23.8966885358,90.3844298258,"{u'date': u'2013-06', u'status': u'OK', u'location': {u'lat': 23.8973194973, u'lng': 90.3797657154}, u'copyright': u'© 2017 Google', u'pano_id': u'wKlURIjBtTMqyNOklHtE7A'}",© 2017 Google,2013-06,"{u'lat': 23.8973194973, u'lng': 90.3797657154}",wKlURIjBtTMqyNOklHtE7A,OK,dhaka/img0_0015.jpg,dhaka/img90_0015.jpg,dhaka/img180_0015.jpg,dhaka/img270_0015.jpg
16,440,24693863,Meghna Bridge,trunk,23.6054891487,90.6141885393,23.6018002,90.6159826,"{u'date': u'2013-04', u'status': u'OK', u'location': {u'lat': 23.6054738882, u'lng': 90.6141534961}, u'copyright': u'© 2017 Google', u'pano_id': u'JPtnHjBPlQjun3JDY_A-7g'}",© 2017 Google,2013-04,"{u'lat': 23.6054738882, u'lng': 90.6141534961}",JPtnHjBPlQjun3JDY_A-7g,OK,dhaka/img0_0016.jpg,dhaka/img90_0016.jpg,dhaka/img180_0016.jpg,dhaka/img270_0016.jpg
17,447,24818569,Pragati Sarani,primary,23.8095265,90.4214195,23.8140341494,90.4212045961,"{u'date': u'2013-02', u'status': u'OK', u'location': {u'lat': 23.8095103908, u'lng': 90.4214104678}, u'copyright': u'© 2017 Google', u'pano_id': u'g0R1GbvUgfAjtI6hX2qx9A'}",© 2017 Google,2013-02,"{u'lat': 23.8095103908, u'lng': 90.4214104678}",g0R1GbvUgfAjtI6hX2qx9A,OK,dhaka/img0_0017.jpg,dhaka/img90_0017.jpg,dhaka/img180_0017.jpg,dhaka/img270_0017.jpg
18,469,24944643,,tertiary,23.745824,90.4021499,23.7446898,90.4025842,"{u'date': u'2013-03', u'status': u'OK', u'location': {u'lat': 23.7457651726, u'lng': 90.4021385203}, u'copyright': u'© 2017 Google', u'pano_id': u'5-_cASyl5ZR6of9wrv68dQ'}",© 2017 Google,2013-03,"{u'lat': 23.7457651726, u'lng': 90.4021385203}",5-_cASyl5ZR6of9wrv68dQ,OK,dhaka/img0_0018.jpg,dhaka/img90_0018.jpg,dhaka/img180_0018.jpg,dhaka/img270_0018.jpg
20,498,28893692,Dhaka-Aricha highway,trunk,23.8136516712,89.8116151141,23.8177820276,89.8135847414,"{u'date': u'2013-09', u'status': u'OK', u'location': {u'lat': 23.8136426106, u'lng': 89.811579207}, u'copyright': u'© 2017 Google', u'pano_id': u'ZakQ-AyT8Q1JbzoGp5-GdQ'}",© 2017 Google,2013-09,"{u'lat': 23.8136426106, u'lng': 89.811579207}",ZakQ-AyT8Q1JbzoGp5-GdQ,OK,dhaka/img0_0020.jpg,dhaka/img90_0020.jpg,dhaka/img180_0020.jpg,dhaka/img270_0020.jpg
21,515,28912095,,secondary,23.0092185869,89.8289769899,23.01327755,89.8310376866,"{u'date': u'2013-11', u'status': u'OK', u'location': {u'lat': 23.009252476, u'lng': 89.8289911478}, u'copyright': u'© 2017 Google', u'pano_id': u'Ox40XqPPOFHLcQBmm6xFOw'}",© 2017 Google,2013-11,"{u'lat': 23.009252476, u'lng': 89.8289911478}",Ox40XqPPOFHLcQBmm6xFOw,OK,dhaka/img0_0021.jpg,dhaka/img90_0021.jpg,dhaka/img180_0021.jpg,dhaka/img270_0021.jpg
