id,segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,gsv_metadata,copyright,date,location,pano_id,status,url_img0,url_img90,url_img180,url_img270
0,3,9017482,ถนนพระราม 9,primary,13.7546203741,100.583417235,13.7528503,100.5894032,"{u'date': u'2016-10', u'status': u'OK', u'location': {u'lat': 13.7545959906, u'lng': 100.583419397}, u'copyright': u'© 2017 Google', u'pano_id': u'hkJhZk0eDmaS1fCNWwgksA'}",© 2017 Google,2016-10,"{u'lat': 13.7545959906, u'lng': 100.583419397}",hkJhZk0eDmaS1fCNWwgksA,OK,bangkok/img0_0000.jpg,bangkok/img90_0000.jpg,bangkok/img180_0000.jpg,bangkok/img270_0000.jpg
1,4,9019480,ถนนพระรามที่ 1,primary,13.7444998,100.5401384,13.7452563,100.536139,"{u'date': u'2016-10', u'status': u'OK', u'location': {u'lat': 13.7445178, u'lng': 100.5401475}, u'copyright': u'© 2017 Google', u'pano_id': u'En3YxE8_3EUGPqlwuG1J5g'}",© 2017 Google,2016-10,"{u'lat': 13.7445178, u'lng': 100.5401475}",En3YxE8_3EUGPqlwuG1J5g,OK,bangkok/img0_0001.jpg,bangkok/img90_0001.jpg,bangkok/img180_0001.jpg,bangkok/img270_0001.jpg
2,6,9166124,,primary,13.7632832,100.5450839,13.7636584,100.54111,"{u'date': u'2012-03', u'status': u'OK', u'location': {u'lat': 13.7632598, u'lng': 100.5450555}, u'copyright': u'© 2017 Google', u'pano_id': u'GVvqGaeRWckbVMhhc0DdiA'}",© 2017 Google,2012-03,"{u'lat': 13.7632598, u'lng': 100.5450555}",GVvqGaeRWckbVMhhc0DdiA,OK,bangkok/img0_0002.jpg,bangkok/img90_0002.jpg,bangkok/img180_0002.jpg,bangkok/img270_0002.jpg
3,17,23609995,ถนนเจริญกรุง,tertiary,13.7474312,100.4942607,13.747265,100.4961042,"{u'date': u'2016-08', u'status': u'OK', u'location': {u'lat': 13.7474099359, u'lng': 100.494222606}, u'copyright': u'© 2017 Google', u'pano_id': u'hvz33a_k3sFzDF4fP5SQzQ'}",© 2017 Google,2016-08,"{u'lat': 13.7474099359, u'lng': 100.494222606}",hvz33a_k3sFzDF4fP5SQzQ,OK,bangkok/img0_0003.jpg,bangkok/img90_0003.jpg,bangkok/img180_0003.jpg,bangkok/img270_0003.jpg
4,23,23610163,,tertiary,13.7428366,100.4948403,13.7428418,100.4949093,"{u'date': u'2014-09', u'status': u'OK', u'location': {u'lat': 13.7428181, u'lng': 100.4948408}, u'copyright': u'© 2017 Google', u'pano_id': u'ZJkdEOQ5rMYPrSrNzHZPHg'}",© 2017 Google,2014-09,"{u'lat': 13.7428181, u'lng': 100.4948408}",ZJkdEOQ5rMYPrSrNzHZPHg,OK,bangkok/img0_0004.jpg,bangkok/img90_0004.jpg,bangkok/img180_0004.jpg,bangkok/img270_0004.jpg
5,27,24678686,ถนนอังรีดูนังต์,secondary,13.7399060686,100.534880693,13.7453247,100.5357801,"{u'date': u'2016-11', u'status': u'OK', u'location': {u'lat': 13.7399435205, u'lng': 100.534903055}, u'copyright': u'© 2017 Google', u'pano_id': u'N7RgSMHrz7UwqyLCkWyzeQ'}",© 2017 Google,2016-11,"{u'lat': 13.7399435205, u'lng': 100.534903055}",N7RgSMHrz7UwqyLCkWyzeQ,OK,bangkok/img0_0005.jpg,bangkok/img90_0005.jpg,bangkok/img180_0005.jpg,bangkok/img270_0005.jpg
6,40,24715228,ถนนข้าวหลาม,tertiary,13.73623,100.5135904,13.7369345,100.5155475,"{u'date': u'2016-10', u'status': u'OK', u'location': {u'lat': 13.7362507494, u'lng': 100.513601244}, u'copyright': u'© 2017 Google', u'pano_id': u'rCNd1_9AD70znUzLbtJHyw'}",© 2017 Google,2016-10,"{u'lat': 13.7362507494, u'lng': 100.513601244}",rCNd1_9AD70znUzLbtJHyw,OK,bangkok/img0_0006.jpg,bangkok/img90_0006.jpg,bangkok/img180_0006.jpg,bangkok/img270_0006.jpg
7,47,24829068,ถนนสาทรใต้,primary,13.7246761818,100.540128058,13.7233646807,100.535704118,"{u'date': u'2016-10', u'status': u'OK', u'location': {u'lat': 13.7246393, u'lng': 100.5400856}, u'copyright': u'© 2017 Google', u'pano_id': u'OafXG0UJsZetsu63xeZ4wg'}",© 2017 Google,2016-10,"{u'lat': 13.7246393, u'lng': 100.5400856}",OafXG0UJsZetsu63xeZ4wg,OK,bangkok/img0_0007.jpg,bangkok/img90_0007.jpg,bangkok/img180_0007.jpg,bangkok/img270_0007.jpg
8,63,25053555,ถนนพระรามที่ 3,primary,13.7161138,100.5568708,13.7147631,100.5555206,"{u'date': u'2016-11', u'status': u'OK', u'location': {u'lat': 13.7161304, u'lng': 100.5568556}, u'copyright': u'© 2017 Google', u'pano_id': u'QlvyTr2Slr5CrzvOHHTgeg'}",© 2017 Google,2016-11,"{u'lat': 13.7161304, u'lng': 100.5568556}",QlvyTr2Slr5CrzvOHHTgeg,OK,bangkok/img0_0008.jpg,bangkok/img90_0008.jpg,bangkok/img180_0008.jpg,bangkok/img270_0008.jpg
9,71,25507862,อาจณรงค์,tertiary,13.6969155,100.5896165,13.6990248049,100.586051986,"{u'date': u'2016-08', u'status': u'OK', u'location': {u'lat': 13.6968942929, u'lng': 100.589630108}, u'copyright': u'© 2017 Google', u'pano_id': u'1g2yZD2xxQgsLLfDA1Spbw'}",© 2017 Google,2016-08,"{u'lat': 13.6968942929, u'lng': 100.589630108}",1g2yZD2xxQgsLLfDA1Spbw,OK,bangkok/img0_0009.jpg,bangkok/img90_0009.jpg,bangkok/img180_0009.jpg,bangkok/img270_0009.jpg
10,73,25620825,ถนนศรีนครินทร์,secondary,13.6564456,100.6425973,13.6561953,100.6425531,"{u'date': u'2016-11', u'status': u'OK', u'location': {u'lat': 13.6564427, u'lng': 100.6425894}, u'copyright': u'© 2017 Google', u'pano_id': u'Ib-pj5AevHFUEnW3t0fKgQ'}",© 2017 Google,2016-11,"{u'lat': 13.6564427, u'lng': 100.6425894}",Ib-pj5AevHFUEnW3t0fKgQ,OK,bangkok/img0_0010.jpg,bangkok/img90_0010.jpg,bangkok/img180_0010.jpg,bangkok/img270_0010.jpg
