id,segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,gsv_metadata,copyright,date,location,pano_id,status,url_img0,url_img90,url_img180,url_img270
0,0,4705034,,primary,-6.1808469,106.8226208,-6.1804543,106.822612,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.1807921, u'lng': 106.8226687}, u'copyright': u'© 2017 Google', u'pano_id': u'ZsuaCXoZMzBUiimX6wPgOg'}",© 2017 Google,2017-01,"{u'lat': -6.1807921, u'lng': 106.8226687}",ZsuaCXoZMzBUiimX6wPgOg,OK,jakarta/img0_0000.jpg,jakarta/img90_0000.jpg,jakarta/img180_0000.jpg,jakarta/img270_0000.jpg
1,2,4705043,Jalan Gunung Sahari III,tertiary,-6.1677526,106.842434,-6.1679838,106.8396825,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.16773708251, u'lng': 106.842439482}, u'copyright': u'© 2017 Google', u'pano_id': u'IZDY6K-68eEZ_2Gn0UX7GQ'}",© 2017 Google,2017-01,"{u'lat': -6.16773708251, u'lng': 106.842439482}",IZDY6K-68eEZ_2Gn0UX7GQ,OK,jakarta/img0_0001.jpg,jakarta/img90_0001.jpg,jakarta/img180_0001.jpg,jakarta/img270_0001.jpg
2,9,4705053,Jalan Gunung Sahari Raya,primary,-6.15619960883,106.83668054,-6.16057676677,106.837807972,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.15615671549, u'lng': 106.836705101}, u'copyright': u'© 2017 Google', u'pano_id': u'efaqkGpxjxArkRbc2_8Ezw'}",© 2017 Google,2017-01,"{u'lat': -6.15615671549, u'lng': 106.836705101}",efaqkGpxjxArkRbc2_8Ezw,OK,jakarta/img0_0002.jpg,jakarta/img90_0002.jpg,jakarta/img180_0002.jpg,jakarta/img270_0002.jpg
3,11,4705053,Jalan Gunung Sahari Raya,primary,-6.16496996476,106.83886961,-6.16934365332,106.840010047,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.1650009, u'lng': 106.8389159}, u'copyright': u'© 2017 Google', u'pano_id': u'TOfUJy6Rmv1imEwasCct6w'}",© 2017 Google,2017-01,"{u'lat': -6.1650009, u'lng': 106.8389159}",TOfUJy6Rmv1imEwasCct6w,OK,jakarta/img0_0003.jpg,jakarta/img90_0003.jpg,jakarta/img180_0003.jpg,jakarta/img270_0003.jpg
4,17,10522098,Jalan Lenteng Agung Raya,trunk,-6.31243617639,106.838373723,-6.31689431808,106.837624326,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.31243889595, u'lng': 106.838416343}, u'copyright': u'© 2017 Google', u'pano_id': u'mKRSPlWntlYFbMlq0rXvPA'}",© 2017 Google,2017-01,"{u'lat': -6.31243889595, u'lng': 106.838416343}",mKRSPlWntlYFbMlq0rXvPA,OK,jakarta/img0_0004.jpg,jakarta/img90_0004.jpg,jakarta/img180_0004.jpg,jakarta/img270_0004.jpg
5,36,10561448,Jalan Lenteng Agung Barat,primary,-6.3218758,106.8358444,-6.31740351488,106.835967794,"{u'date': u'2016-12', u'status': u'OK', u'location': {u'lat': -6.32185663996, u'lng': 106.835814796}, u'copyright': u'© 2017 Google', u'pano_id': u'KYuHTsUv_u33zWFCms54Bg'}",© 2017 Google,2016-12,"{u'lat': -6.32185663996, u'lng': 106.835814796}",KYuHTsUv_u33zWFCms54Bg,OK,jakarta/img0_0005.jpg,jakarta/img90_0005.jpg,jakarta/img180_0005.jpg,jakarta/img270_0005.jpg
6,41,10700207,Jalan Lenteng Agung Timur,primary,-6.34044640479,106.835369522,-6.3350996,106.8355198,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.34045674979, u'lng': 106.835315637}, u'copyright': u'© 2017 Google', u'pano_id': u'4cn18cG02IZjC4aJg9oztg'}",© 2017 Google,2017-01,"{u'lat': -6.34045674979, u'lng': 106.835315637}",4cn18cG02IZjC4aJg9oztg,OK,jakarta/img0_0006.jpg,jakarta/img90_0006.jpg,jakarta/img180_0006.jpg,jakarta/img270_0006.jpg
7,42,10700233,,primary,-6.303512,106.8407926,-6.306449,106.8393714,"{u'date': u'2016-12', u'status': u'OK', u'location': {u'lat': -6.30354506329, u'lng': 106.840766342}, u'copyright': u'© 2017 Google', u'pano_id': u'BX1_4oabjsTEEYWss2K--Q'}",© 2017 Google,2016-12,"{u'lat': -6.30354506329, u'lng': 106.840766342}",BX1_4oabjsTEEYWss2K--Q,OK,jakarta/img0_0007.jpg,jakarta/img90_0007.jpg,jakarta/img180_0007.jpg,jakarta/img270_0007.jpg
8,45,10700773,Jalan RA. Kartini,trunk,-6.29185074998,106.786393791,-6.2919670367,106.790900731,"{u'date': u'2015-08', u'status': u'OK', u'location': {u'lat': -6.29182399063, u'lng': 106.786433599}, u'copyright': u'© 2017 Google', u'pano_id': u'vJ0A6lDpICnwImEiopqprg'}",© 2017 Google,2015-08,"{u'lat': -6.29182399063, u'lng': 106.786433599}",vJ0A6lDpICnwImEiopqprg,OK,jakarta/img0_0008.jpg,jakarta/img90_0008.jpg,jakarta/img180_0008.jpg,jakarta/img270_0008.jpg
9,47,10700805,Jalan TB. Simatupang,primary,-6.3026031,106.8543076,-6.3045223,106.8503585,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.30257093932, u'lng': 106.85434472}, u'copyright': u'© 2017 Google', u'pano_id': u'SsXo5vc8zgmbvRsqFBLejQ'}",© 2017 Google,2017-01,"{u'lat': -6.30257093932, u'lng': 106.85434472}",SsXo5vc8zgmbvRsqFBLejQ,OK,jakarta/img0_0009.jpg,jakarta/img90_0009.jpg,jakarta/img180_0009.jpg,jakarta/img270_0009.jpg
10,71,11589658,Jalan H. R. Rasuna Said,primary,-6.22526057833,106.832839476,-6.22084859626,106.831913135,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.22525658046, u'lng': 106.83279817}, u'copyright': u'© 2017 Google', u'pano_id': u'fDC7bfHLdfP5x4QHqvCgWg'}",© 2017 Google,2017-01,"{u'lat': -6.22525658046, u'lng': 106.83279817}",fDC7bfHLdfP5x4QHqvCgWg,OK,jakarta/img0_0010.jpg,jakarta/img90_0010.jpg,jakarta/img180_0010.jpg,jakarta/img270_0010.jpg
11,75,11590664,Jalan RM Harsono,secondary,-6.3057175,106.8205682,-6.30125091709,106.821254702,"{u'date': u'2015-12', u'status': u'OK', u'location': {u'lat': -6.30572558527, u'lng': 106.820538738}, u'copyright': u'© 2017 Google', u'pano_id': u'4YP7ta_p7bDJb2yP9DyLSg'}",© 2017 Google,2015-12,"{u'lat': -6.30572558527, u'lng': 106.820538738}",4YP7ta_p7bDJb2yP9DyLSg,OK,jakarta/img0_0011.jpg,jakarta/img90_0011.jpg,jakarta/img180_0011.jpg,jakarta/img270_0011.jpg
12,77,11590664,Jalan RM Harsono,secondary,-6.29677493448,106.821233089,-6.2940801,106.8222671,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.2967805484, u'lng': 106.82128323}, u'copyright': u'© 2017 Google', u'pano_id': u'1Tvx1pkirpxZuom7hqZhcA'}",© 2017 Google,2017-01,"{u'lat': -6.2967805484, u'lng': 106.82128323}",1Tvx1pkirpxZuom7hqZhcA,OK,jakarta/img0_0012.jpg,jakarta/img90_0012.jpg,jakarta/img180_0012.jpg,jakarta/img270_0012.jpg
13,78,11591853,Jalan Jend. Sudirman,primary,-6.2017412,106.8231129,-6.2032911,106.8227637,"{u'date': u'2016-12', u'status': u'OK', u'location': {u'lat': -6.20176466034, u'lng': 106.823075321}, u'copyright': u'© 2017 Google', u'pano_id': u'4I_9oTSEYfkfsLPef9c0gw'}",© 2017 Google,2016-12,"{u'lat': -6.20176466034, u'lng': 106.823075321}",4I_9oTSEYfkfsLPef9c0gw,OK,jakarta/img0_0013.jpg,jakarta/img90_0013.jpg,jakarta/img180_0013.jpg,jakarta/img270_0013.jpg
14,89,11670880,Jalan Bekasi Timur Raya,secondary,-6.2142153,106.8876781,-6.2109725458,106.890702051,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.21428765603, u'lng': 106.887683509}, u'copyright': u'© 2017 Google', u'pano_id': u'd86rXg7Zyq_IHWOouJeuuw'}",© 2017 Google,2017-01,"{u'lat': -6.21428765603, u'lng': 106.887683509}",d86rXg7Zyq_IHWOouJeuuw,OK,jakarta/img0_0014.jpg,jakarta/img90_0014.jpg,jakarta/img180_0014.jpg,jakarta/img270_0014.jpg
15,108,18056006,Jalan Surabaya,tertiary,-6.20134777113,106.841137385,-6.2038574,106.8423438,"{u'date': u'2016-12', u'status': u'OK', u'location': {u'lat': -6.20134715709, u'lng': 106.841119676}, u'copyright': u'© 2017 Google', u'pano_id': u'VzvuaEuoQkBaXdFVGt6uXQ'}",© 2017 Google,2016-12,"{u'lat': -6.20134715709, u'lng': 106.841119676}",VzvuaEuoQkBaXdFVGt6uXQ,OK,jakarta/img0_0015.jpg,jakarta/img90_0015.jpg,jakarta/img180_0015.jpg,jakarta/img270_0015.jpg
16,116,18057627,Dr Ide Anak Agung Gde Agung,secondary,-6.2244393,106.8266613,-6.2278568,106.8260096,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.22441888227, u'lng': 106.826669117}, u'copyright': u'© 2017 Google', u'pano_id': u'RXzNM8bydbWYEriUYgqwmQ'}",© 2017 Google,2017-01,"{u'lat': -6.22441888227, u'lng': 106.826669117}",RXzNM8bydbWYEriUYgqwmQ,OK,jakarta/img0_0016.jpg,jakarta/img90_0016.jpg,jakarta/img180_0016.jpg,jakarta/img270_0016.jpg
17,130,18070049,Jalan H. Agus Salim,tertiary,-6.1927192,106.8251613,-6.1920605,106.8251607,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.19268732176, u'lng': 106.825141543}, u'copyright': u'© 2017 Google', u'pano_id': u'tLtYXYRl2JXk-VUMsatg2w'}",© 2017 Google,2017-01,"{u'lat': -6.19268732176, u'lng': 106.825141543}",tLtYXYRl2JXk-VUMsatg2w,OK,jakarta/img0_0017.jpg,jakarta/img90_0017.jpg,jakarta/img180_0017.jpg,jakarta/img270_0017.jpg
18,143,18076635,,secondary,-6.1759034,106.8325987,-6.1761901,106.8310167,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.17590530035, u'lng': 106.832546826}, u'copyright': u'© 2017 Google', u'pano_id': u'iJuaM9clROFdrfPjL_0lEg'}",© 2017 Google,2017-01,"{u'lat': -6.17590530035, u'lng': 106.832546826}",iJuaM9clROFdrfPjL_0lEg,OK,jakarta/img0_0018.jpg,jakarta/img90_0018.jpg,jakarta/img180_0018.jpg,jakarta/img270_0018.jpg
19,146,18077180,Jalan Medan Merdeka Selatan,primary,-6.180567575,106.827772133,-6.1807609,106.8232062,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.1805132, u'lng': 106.8277703}, u'copyright': u'© 2017 Google', u'pano_id': u'_sJ7slEAui0kZLFqwp1HsQ'}",© 2017 Google,2017-01,"{u'lat': -6.1805132, u'lng': 106.8277703}",_sJ7slEAui0kZLFqwp1HsQ,OK,jakarta/img0_0019.jpg,jakarta/img90_0019.jpg,jakarta/img180_0019.jpg,jakarta/img270_0019.jpg
20,161,18087408,Jalan Raya Bandara,primary,-6.1057515,106.6965653,-6.10808184931,106.692694642,"{u'date': u'2015-06', u'status': u'OK', u'location': {u'lat': -6.10579925104, u'lng': 106.696572703}, u'copyright': u'© 2017 Google', u'pano_id': u'xigvzXri4IPiqYN45nRntQ'}",© 2017 Google,2015-06,"{u'lat': -6.10579925104, u'lng': 106.696572703}",xigvzXri4IPiqYN45nRntQ,OK,jakarta/img0_0020.jpg,jakarta/img90_0020.jpg,jakarta/img180_0020.jpg,jakarta/img270_0020.jpg
21,162,18087408,Jalan Raya Bandara,primary,-6.10808184931,106.692694642,-6.1104886,106.6901682,"{u'date': u'2015-05', u'status': u'OK', u'location': {u'lat': -6.10812952679, u'lng': 106.692715114}, u'copyright': u'© 2017 Google', u'pano_id': u'pmZCKgjxWMRgrSkE9kW4hA'}",© 2017 Google,2015-05,"{u'lat': -6.10812952679, u'lng': 106.692715114}",pmZCKgjxWMRgrSkE9kW4hA,OK,jakarta/img0_0021.jpg,jakarta/img90_0021.jpg,jakarta/img180_0021.jpg,jakarta/img270_0021.jpg
22,183,18577337,Jalan Jaksa,tertiary,-6.1828485,106.8298062,-6.1840436,106.8295269,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.18286668876, u'lng': 106.829777947}, u'copyright': u'© 2017 Google', u'pano_id': u'laj2Bn-Jlegh7_krGUgXjQ'}",© 2017 Google,2017-01,"{u'lat': -6.18286668876, u'lng': 106.829777947}",laj2Bn-Jlegh7_krGUgXjQ,OK,jakarta/img0_0022.jpg,jakarta/img90_0022.jpg,jakarta/img180_0022.jpg,jakarta/img270_0022.jpg
23,190,18613710,Jalan Cikini I,tertiary,-6.1877059,106.8333744,-6.1915666,106.836138,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.18772610816, u'lng': 106.833366854}, u'copyright': u'© 2017 Google', u'pano_id': u'h-M24CNg2Omapz-Yfc3njw'}",© 2017 Google,2017-01,"{u'lat': -6.18772610816, u'lng': 106.833366854}",h-M24CNg2Omapz-Yfc3njw,OK,jakarta/img0_0023.jpg,jakarta/img90_0023.jpg,jakarta/img180_0023.jpg,jakarta/img270_0023.jpg
24,195,18640746,Jalan Rasamala,tertiary,-6.1945711,106.8308298,-6.1929113,106.8307789,"{u'date': u'2016-12', u'status': u'OK', u'location': {u'lat': -6.19454374563, u'lng': 106.830858156}, u'copyright': u'© 2017 Google', u'pano_id': u'vygeULet178dztdeevMnag'}",© 2017 Google,2016-12,"{u'lat': -6.19454374563, u'lng': 106.830858156}",vygeULet178dztdeevMnag,OK,jakarta/img0_0024.jpg,jakarta/img90_0024.jpg,jakarta/img180_0024.jpg,jakarta/img270_0024.jpg
25,198,18640751,Jalan HOS Cokroaminoto,primary,-6.2025939,106.8278536,-6.1995519,106.8282439,"{u'date': u'2015-08', u'status': u'OK', u'location': {u'lat': -6.20257235939, u'lng': 106.827902977}, u'copyright': u'© 2017 Google', u'pano_id': u'v_fuD6o7birRPR2O3LcYPg'}",© 2017 Google,2015-08,"{u'lat': -6.20257235939, u'lng': 106.827902977}",v_fuD6o7birRPR2O3LcYPg,OK,jakarta/img0_0025.jpg,jakarta/img90_0025.jpg,jakarta/img180_0025.jpg,jakarta/img270_0025.jpg
26,203,18770224,Jalan Suryo,primary,-6.2329994,106.811923,-6.23677532161,106.814189286,"{u'date': u'2017-01', u'status': u'OK', u'location': {u'lat': -6.233008512, u'lng': 106.811909308}, u'copyright': u'© 2017 Google', u'pano_id': u'pgWltlGOhzS7y79wIHhPRA'}",© 2017 Google,2017-01,"{u'lat': -6.233008512, u'lng': 106.811909308}",pgWltlGOhzS7y79wIHhPRA,OK,jakarta/img0_0026.jpg,jakarta/img90_0026.jpg,jakarta/img180_0026.jpg,jakarta/img270_0026.jpg
